Ms. 35,Heures de Jacques de Luxembourg,Milieu du 15e siècle,1440/1460,français|fre$latin|lat,parchemin,manuscrit,152 feuillets,150 x 100 mm,"Reliure plein veau couleur fauve sur ais de bois, estampée à froid, décor de petits fers représentant des fleurs de lys, des abeilles et des lions","Au fol. 2v, on peut lire cette mention manuscrite du 16e siècle « Ces heures et livret de dévotion furent à Mgr. Jacques de Luxembourg  en son vivant chevalier et seigneur de Richebourg ». Fol. 3. Prières en français. Fol. 9. Prières en latin pour le matin et le soir. Fol. 14v, on lit : « S’ensuit la table de ce livre... ». Fol. 16v. Prière à Saint Hubert. Fol. 17. Stabat Mater. Fol. 18v. Les Sept joies de Notre-Dame. Fol. I, on lit : « Alphabetum christianurum... ». Fol. IX. Les heures de la glorieuse Magdalaine. Fol. XIV.  Les cinq Pater noster. Fol. XV. Commémorations et oraisons de plusieurs saints et saintes. Fol. XIX. Des apôtres en particulier. Fol. XXIIII. Des martyrs. Fol. XXXIII. Des confesseurs. Fol. XLVII. Des vierges. Fol. LVIII. Des trespassés. Fol. LVIIII. Oraisons diverses. Fol. LXVI, on lit : « Dévote oraison à Nostre-Dame... ». Fol. LXVIIII verso, on lit : « S’ensuit la litanie de Saint Pierre de Luxembourg... ». Fol. LXXIII, on lit : « S’ensuit dévote oraison à dire à celuy qui approche de la mort... ». Fol. IIII - XX [80], on lit : « S’ensuivent neuf aides ou remèdes lesquels Dieu nous a abaissés et enseignés... ». Fol. CVIII, on lit : « Agnus dei très noble don... ». Fol. VI - XX - XI [131] verso. Dévote commémoration du mariage de Saint Joseph et de Notre Dame. Fol. VI - XX - XII [132], on lit : «Bénédiction que le père peut faire et donner à ses enfants ». Foliotation d’origine. Texte à l’encre rouge et noir. Nombreuses petites initiales ornées d’arabesques d’or sur fond bleu, rouge ou brun. Cf. L’Histoire de Roubaix, par Th. Leuridan, T. II, 1860 ; L’Histoire de Roubaix, sous la dir. de Y. - M. Hilaire, 1984 ; Notes sur un livre d’heures de Jacques de Luxembourg, par le Chanoine Looten, dans Comité Flamand de France, premier fascicule, 1920 ; Deux livres d’heures du 15e siècle à la Bibliothèque Municipale de Roubaix, par L. Detrez, Philol et hist., 1955 - 1956. ",Isabeau de Roubaix a fait don de ce manuscrit à l’Hôpital Sainte Élisabeth de Roubaix en 1502. Il a été restitué à la Ville de Roubaix vers 1928 ,,,,,,,,,,,,
Ms. 36,Poésies et chansons,Vers 1930-1940,1930/1940,français|fre,papier,manuscrit$dactylographie,235 feuillets,230 x 190 mm,Demi-reliure cuir à coins signée par Cyrille Lecoq,"Contient entre autres pièces : « Autobiographie humoristique » (fol. 2-27) ; « Brindilles de vie » (fol. 50-110) ; « Pasquilles et chansons en patois » (fol. 111-150) ; « Des chansons » (fol. 151-199) ; « Les Chrysanthèmes » (fol. 207-257). Contient aussi : Portrait, illustrations. Envoi de l’auteur à Robert Vandecrux. ",Provenance inconnue. Inscrit dans le registre des entrées sous le numéro d’inventaire 8571,,,"Charles Barenne|Barenne, Charles",,,,,,,,,
Ms. 37,La vie est toute une chanson. Premier volume,Entre 1919 et 1937,1919/1937,français|fre,papier,manuscrit,148 feuillets,220 x 180 mm,Cahier unique cousu,"Chansons et poésie 1892-1919. Mention manuscrite de l’Archiviste municipal, 1937. Contient la table des volumes 1 et 2 (fol. A à D). Cf. aussi le Ms. 48. ",Don de l'auteur. Inscrit dans le registre des entrées sous le numéro d’inventaire 14 039,,,"Alfred Losfeld|Losfeld, Alfred",,, ,,,,,,
Ms. 38,Papiers Auguste Victor Wacquez,Vers 1870-1880,1870/1880,français|fre,papier,manuscrit$imprimé,68 feuillets,240 x 190 mm,Demi-reliure veau à coins signée Dewatine,"Contient : « Méthode analytique de langue française », par A. Wacquez, 1ere partie, imprimé à Lille, par A. Degans, 1866 (fol. I-36) ; Dissertation sur la valeur littéraire et morale de quelques romans modernes, par A. Wacquez (fol. 37-58), des notes manuscrites concernant l’auteur (fol. 59), une lettre à Albert Dupuis (fol. 60-64), « Monsieur Curieux dit pourquoi », imprimé (fol. 65-67). Portr. (fol. 1v). Ex-libris manuscrit d'Albert Dupuis. ",Provenance inconnue. Inscrit dans le registre des entrées sous le numéro d’inventaire 7962,,,"Auguste-Victor Wacquez-Lalo|Wacquez-Lalo, Auguste-Victor",,,,,,,,,
Ms. 39,Choix de poésies et de chansons,1929-1931,1929/1931,français|fre,papier,manuscrit,235 feuillets,220 x 140 mm,Agenda,"Contient : « Brindilles de vie » (fol. 3-222 rectos) ; « Les Heures rouges » (fol. 4-70 versos) ; « Les Chrysanthèmes » (fol. 71-129 versos) ;  « Avec le sourire » (fol. 123-197 versos) ; pièces en patois (fol. 198-222 versos) ; Charles Barenne, par Paul Gaël (fol. 233v-234). Portrait (fol. 3). Envois manuscrits de l’auteur.",Don de l'auteur. Inscrit dans le registre des entrées sous le numéro d’inventaire 8570,,,"Charles Barenne|Barenne, Charles",, , , ,,, ,  , 
Ms. 40,Contes d'in bacleu,Vers 1973,1963/1983,français|fre,papier,dactylographie carbone,57 feuillets (versos blancs),220 x 150 mm,Demi-reliure toile,Double du Ms. 41.,Don de l'auteur. Inscrit dans le registre des entrées sous le numéro d’inventaire 67 605,,,"Désiré Osson|Osson, Désiré",,,,,,,,,
Ms. 41,Contes d'un bacleu,Vers 1973,1963/1983,français|fre,papier,dactylographie,57 feuillets (versos blancs),220 x 150 mm,Demi-reliure toile ,Poèmes et anecdotes roubaisiennes. Contient des extraits de presse. Cf. aussi Ms. 40.,Don de l'auteur. Inscrit dans le registre des entrées sous le numéro d’inventaire 67 603,,,"Désiré Osson|Osson, Désiré",,,,,,,,,
Ms. 42,Poésies,XXe siècle,1901/2000,français|fre,papier,manuscrit,92 feuillets (56-92 blancs),155 x 205 mm,Demi-reliure,Copies de poèmes de divers auteurs classiques. ,Don de Madame Jube. Inscrit dans le registre des entrées sous le numéro d’inventaire 29 558,,,,,,,,,,,,
Ms. 43,Poésies,XXe siècle,1901/2000,français|fre,papier,manuscrit,86 feuillets,155 x 205 mm,Demi-reliure,Copies de poèmes de divers auteurs classiques. Contient des collages. ,Don de Madame Jube. Inscrit dans le registre des entrées sous le numéro d’inventaire 29 559,,,,,,,,,,,,
Ms. 44,Recueil de chansons,XIXe siècle,1801/1900,français|fre,papier,manuscrit,69 feuillets,210 x 160 mm,Cahier unique cousu,"Poèmes d'auteurs divers du 13ème au 18ème siècle, mis en musique. Texte et partition.",Provenance inconnue. Inscrit dans le registre des entrées sous le numéro d’inventaire 102 999,,,,,,,,,,,,
